TEXT;Age group;Gender;TOPICS
Good offer of fresh sausages.;< 30;Female;Quality of goods
Nice vegetables and now super oranges;< 30;Female;Quality of FV | Quality of goods
They seem to me to be the best overall in both goods and salespersons;30 - 60;Male;Range of goods | Staff | Quality of goods
Pleasant environment as they did it;< 30;Male;Look and feel
Sometimes there's a little mess;< 30;Male;Cleanliness
Queues at cash registers neutral environment;60+;Male;Look and feel | Queues
I'm almost satisfied here. It's clear, good goods;60+;Female;Arrangement of the store | Look and feel | Clarity | Range of goods | Quality of goods
I'm used to shopping here, I like it here;30 - 60;Female;Look and feel
Large well-arranged shop. Good prices;60+;Female;Pricing | Clarity | Space
One of the few chains has a toilet, a store environment.;< 30;Female;Look and feel
I am very satisfied with the current situation;< 30;Female;Availability of goods
Sometimes they don't have goods in action. Large queues at the checkout. Small selection of fruits and vegetables.;60+;Male;Availability of goods | Range of FV | Queues | Range of goods | Availability of promo goods
The range is fine. Sometimes something is missing on the shelves;60+;Female;Availability of goods | Range of goods | Availability of promo goods
Convenient store clarity;30 - 60;Female;Clarity
We have it across the road;< 30;Male;Other
It is a very small and small selection of everything;< 30;Male;Space | Range of goods
I would imagine the store so that it was fun for me to shop here and not poison;60+;Female;Look and feel
I have rehearsed it, I know where it is and the staff is patient with children.;< 30;Male;Arrangement of the store | Range of goods | Staff
Sometimes the goods are not in action;60+;Male;Availability of goods | Availability of promo goods
I'm happy to buy what I need;30 - 60;Male;Range of goods
Expensive;30 - 60;Female;Pricing
Narrow streets, it's cramped here;30 - 60;Female;Space
Staff, events, clear;60+;Male;Clarity | Promotions | Staff
I don't know after the reconstruction;60+;Female;Arrangement of the store
Overall satisfaction and clear;30 - 60;Female;Look and feel | Clarity
Well, I'm used to good sausages here;30 - 60;Female;Clarity | Quality of goods
Good bakery and fresh sausages.;< 30;Male;Quality of bakery | Quality of goods
It's close, a smaller shop, paying a meal voucher;30 - 60;Female;Vouchers, loyalty | Space | Proximity
Occasionally cash registers, self-service do not take cash;60+;Male;Queues | Self-checkout
They have a big choice and it's better here;< 30;Female;Availability of goods | Range of goods
To make the cash registers self-service.;< 30;Female;Self-checkout
Good pastry, long lines;< 30;Female;Queues | Quality of bakery | Quality of goods
Unfortunately we live next door, but bad price tags, the shop is dirty and there are few employees;< 30;Female;Queues | Price Tags | Staff | Cleanliness
Good prices are closest.;60+;Male;Pricing | Proximity
I really like how clear and cheap it is here;60+;Female;Arrangement of the store | Look and feel | Pricing | Clarity
It's not a very big deal but basically everything is here;30 - 60;Female;Space | Range of goods
Large, well passable, wide range;30 - 60;Female;Arrangement of the store | Range of goods
I live a bit, with a little we are on a walk, so we bought something here for lunch, a selection of goods, events;< 30;Female;Promotions | Range of goods | Proximity
Fruits and vegetables rotten, delicacies ham all wrong, queues;30 - 60;Female;Quality of FV | Queues | Quality of goods
Self-service checkouts could also be made for cash;< 30;Female;Self-checkout
More pleasant staff ..............;30 - 60;Female;Staff
Good orientation, quite good prices,;60+;Male;Arrangement of the store | Pricing
But to expand the range it is not very real;60+;Female;Range of goods
Queue at checkout and rubber pastry;30 - 60;Male;Queues | Quality of bakery | Quality of goods
Great shopping here;< 30;Male;Range of goods
More shopwomen at the cash register;30 - 60;Male;Queues | Staff
It's cheaper than next door;30 - 60;Male;Pricing
Queues at the checkout and self-service checkout;30 - 60;Male;Queues | Self-checkout
Unpleasant environment, less choice;< 30;Female;Look and feel | Range of goods
An extremely small selection of vegetables and fruits.;30 - 60;Female;Range of FV | Range of goods
I do not suit me Polish goods in the shop;< 30;Female;Other
Homeless in front of shop.;30 - 60;Male;Security
Do not constantly turn goods into racks...;60+;Female;Arrangement of the store
Improve quality of food and not sell cheaply of lower quality;< 30;Male;Quality of goods
Sometimes there is a more limited range.;< 30;Female;Availability of goods
Poor quality of vegetables and meat.;30 - 60;Female;Quality of FV | Quality of meat | Quality of goods
I miss the cash payment at the self-service checkout.;< 30;Male;Self-checkout
It is a spacious shop and friendly staff.;< 30;Female;Space | Staff
Expand range, better adapt;< 30;Female;Arrangement of the store | Range of goods
Vegetables and fruits, distance;30 - 60;Male;Range of FV | Quality of FV | Range of goods | Quality of goods
Everything's fine, it's just not clear;30 - 60;Female;Arrangement of the store | Clarity
It's a big shop and you can park well here;60+;Female;Parking | Space
Pleasant saleswoman at the box office, very nice;60+;Female;Staff
Shop seamless, I do not solve any conflicts.;60+;Male;Look and feel
I'm close and buying everything I need;< 30;Male;Range of goods | Proximity
Good action, we like to customize shops, closed chillers, fruit selection.;30 - 60;Female;Range of FV | Arrangement of the store | Look and feel | Promotions | Range of goods
Slow cash register;30 - 60;Female;Queues
Long wait at the ticket offices;60+;Female;Queues
Good food, low prices;30 - 60;Male;Pricing | Quality of goods
Clear, quick purchase, matching goods;30 - 60;Female;Clarity | Range of goods
Poor meat is not always all the goods;60+;Female;Availability of goods | Quality of meat | Quality of goods
Old prices from previous events.;< 30;Female;Promotions | Price Tags
There are not too many people and there is a nice choice;< 30;Female;Queues | Range of goods
Improve store visibility;30 - 60;Female;Arrangement of the store | Clarity
Large selection of goods at reasonable prices;60+;Male;Pricing | Range of goods
Frequent events, quality brand;30 - 60;Male;Promotions | Quality of goods
Spacious large shop and a large selection of goods;60+;Female;Clarity | Range of goods
People come here, there are no queues here, sometimes they give me a different price at the box office than on the shelf;< 30;Male;Price Tags
Assortment, selection;60+;Female;Range of goods
Too little parking at the store;60+;Male;Parking
Compared to other shops, it is clear and clear here.;60+;Male;Clarity | Cleanliness
I miss more fish here ..;30 - 60;Male;Range of goods
After the reconstruction very nice. Airy, friendly staff ..;60+;Male;Look and feel | Space | Staff
The perfect store will satisfy every satisfaction;60+;Male;Look and feel
Total normal shop. There is no problem here, only the security guard could look a little more neat. I know it's probably an external company, but some representation must be preserved.;30 - 60;Male;Security | Arrangement of the store
Quality food and freshness.;30 - 60;Male;Quality of goods
Nice clean shop, and a good selection of goods;< 30;Male;Look and feel | Range of goods | Cleanliness
It's nice here, good shopping;< 30;Female;Look and feel
Spacious, lots of products, good pastry, but it is not in the evening;30 - 60;Female;Quality of bakery | Clarity | Range of goods | Quality of goods
I'll buy what I need;30 - 60;Female;Availability of goods
It's all right here and I like it the most;60+;Female;Look and feel
A lot of worse worse comes to me from standing completely behind the old white. the merchandise is still repeating.;60+;Female;Range of goods
Shop sometimes has a bad climate too hot or cold;< 30;Female;Look and feel
They have a large selection and I can look directly into other stores.;< 30;Male;Range of goods
Sometimes there are good events.;30 - 60;Female;Promotions
Large selection of pastries, meat sausages.;< 30;Female;Range of meat | Range of bakery | Range of goods
Good place;< 30;Male;Other
Good smaller shop, good goods;< 30;Female;Look and feel | Range of goods | Quality of goods
It's very expensive here, otherwise well.;30 - 60;Male;Pricing
I find it clear here and I like the selection of those products;30 - 60;Male;Arrangement of the store | Clarity | Range of goods
It is large and spacious. I'm not waiting here.;60+;Female;Queues | Space
Friendly staff, choice, merchandise;60+;Male;Range of goods | Staff
The quality of fresh goods is sometimes worse;< 30;Male;Quality of goods
I like it here, it's all right.;30 - 60;Female;Look and feel
I really like how clear and cheap it is here;60+;Male;Arrangement of the store | Look and feel | Pricing | Clarity
They should have action items throughout the event.;30 - 60;Male;Availability of goods | Availability of promo goods
Nice big shop, plenty of goods.;30 - 60;Female;Look and feel | Space | Range of goods
It parks well, there are no people.;< 30;Female;Parking
There's a lot of goods and pretty together;< 30;Male;Range of goods
Plus minus 8, let's still space;60+;Male;Look and feel
It's close to the house and I always leave satisfied;< 30;Male;Proximity | Quality of goods
It almost doesn't matter where you go, there is something everywhere.;60+;Female;Other
It doesn't seem great to me;60+;Male;Space
There could be a self-service checkout;< 30;Male;Self-checkout
Well, because I do not buy well here. Quite often there is spoiled meat;< 30;Female;Quality of meat | Quality of goods
I am not satisfied with the service and choice of alcohol;60+;Male;Range of goods | Staff
Fresh food;30 - 60;Female;Quality of goods
The store is confusing and excessively large, always looking for everything for a long time;60+;Female;Arrangement of the store | Clarity
Okay here, friendly staff;30 - 60;Male;Look and feel | Staff
It happens that action goods are redeemed;30 - 60;Female;Availability of goods | Availability of promo goods
Because my store has shrunk and I feel small;60+;Male;Space | Range of goods
Large parking, good access to public transport, sometimes unpleasant staff, in the event of problems can not get a manager for a long time.;< 30;Male;Parking | Staff
I like to buy here, well-arranged goods.;60+;Male;Look and feel | Clarity | Range of goods
Large shop, decent selection, self-service checkout.;< 30;Male;Space | Self-checkout | Range of goods
Small choice;< 30;Female;Range of goods
Good offer, we'll sit here more stuff.;60+;Male;Range of goods
Everything is fine according to the customer;30 - 60;Female;Availability of goods
After reconstruction clean, fresh, clear;30 - 60;Female;Clarity | Cleanliness | Quality of goods
Bigger shop, goods quite well what I wanted, I bought it.;60+;Female;Availability of goods | Space | Range of goods | Quality of goods
Selection, arrangement;< 30;Male;Arrangement of the store | Range of goods
Everything is fine I like the new cash register;60+;Female;Look and feel
Pleasant manager pleasant manager and from that the whole store;60+;Male;Staff
I just prefer to buy here. Whether I find it so clear;30 - 60;Male;Arrangement of the store | Look and feel | Clarity
Narrow assortment, less passable aisles.;< 30;Female;Arrangement of the store | Space | Range of goods
Queues at the checkout, occasionally missing discounted items.;< 30;Female;Availability of goods | Queues | Availability of promo goods
Good service;30 - 60;Male;Staff
Well-arranged store of wide assortment;60+;Female;Clarity | Range of goods
Clean and spacious shop and shopping here with a pram;30 - 60;Female;Space | Cleanliness
Large free parking, lego campaign, wide range;60+;Male;Parking | Range of goods
Nice shopping, clean shop, make a difference here;< 30;Female;Look and feel | Cleanliness
It's been rebuilt so well recently;< 30;Male;Look and feel | Clarity
I can't get used to the store after rebuilding;30 - 60;Female;Look and feel
Large well-arranged, interesting events;30 - 60;Female;Availability of goods | Arrangement of the store | Clarity | Space | Promotions | Availability of promo goods
Everything suits me, they have a good choice and a pleasant environment. I'm glad they're self-service checkouts, it saves time.;60+;Male;Self-checkout | Range of goods
Nice shop staff I like it here.;30 - 60;Male;Look and feel | Staff
It's close, they're nice cashiers;< 30;Female;Proximity | Staff
New redesigned store, she did;30 - 60;Female;Look and feel
I think it's messy here, it's not nice here;30 - 60;Female;Arrangement of the store | Clarity
Narrow corridor for large baskets;< 30;Male;Space
The staff is very friendly;60+;Female;Staff
They don't have Zirovnik Balkan cheese here. Vegetables sometimes managed or rotten.;60+;Female;Quality of FV | Range of goods | Quality of goods
Well, because sometimes in the evening after 6 pm there is no fresh bread;< 30;Female;Availability of goods | Availability of bakery
Very small rooms and there is no choice of yogurt.;60+;Male;Space | Range of goods
Large selection of pastries fresh meat, although sometimes it turns quality veggie, fruit OK.;< 30;Male;Quality of FV | Quality of meat | Quality of bakery | Range of bakery | Range of goods | Quality of goods
I got it close here is all I need;60+;Male;Range of goods | Proximity
Small selection of goods.;60+;Male;Range of goods
Friendly staff, clarity;30 - 60;Female;Clarity | Staff
I am very satisfied, I like it here;< 30;Female;Look and feel
Shop location, good choice.;60+;Male;Range of goods | Proximity
I'm close to it and I'm glad we have the store;30 - 60;Male;Look and feel | Proximity
It's expensive here when I don't have to come here;30 - 60;Male;Pricing
I am satisfied, the store meets my needs;60+;Female;Look and feel
There is everything and since the self-service treasures so it is pleasantly paid;30 - 60;Female;Self-checkout | Range of goods
Because it's very tiny.;30 - 60;Male;Space
They have nothing to do again.;< 30;Male;Availability of goods | Availability of promo goods
I am very satisfied here, there is space, it is clear;< 30;Female;Look and feel | Clarity | Space
After the reconstruction it is very nice, clear ..;< 30;Female;Look and feel | Clarity
It's close to home so I often visit it;< 30;Female;Proximity
And in the afternoon to add more cash registers tend to queue;60+;Female;Queues
Poor staff.;< 30;Female;Staff
I live meetings, it's nice here, but I want to wait less.;30 - 60;Male;Queues | Proximity
Great choice, nice staff, satisfied.;< 30;Male;Range of goods | Staff
I wouldn't change anything here, it's a nice deal.;< 30;Male;Look and feel
I'm close to work. satisfaction;60+;Female;Other
It is well available for me and they have cheap drugstore, too;60+;Female;Pricing | Range of goods | Proximity
I am satisfied with the trade, I really like it here.;< 30;Female;Look and feel
By metro, assortment;< 30;Male;Range of goods
I like it here, neat, people don't stick here, big choice, so I'll pay extra.;60+;Female;Look and feel | Queues | Range of goods
Big shop and everything we need here;30 - 60;Male;Availability of goods | Look and feel | Range of goods
Transparency, delicatessen, staff;60+;Male;Clarity | Staff | Quality of goods
In total you can buy here, it is not a bad shop;< 30;Female;Look and feel
Well, make a delicacy counter here.;30 - 60;Male;Range of goods
It's been a nice grocery store since the reconstruction.;< 30;Male;Look and feel | Quality of goods
In winter it is difficult to walk here, it is more expensive than in Lidl;30 - 60;Male;Pricing
Nice staff, fit newly made self-service cash registers.;30 - 60;Female;Self-checkout | Staff
Little organic product and it was too expensive;30 - 60;Male;Pricing | Range of goods
Sometimes I can't find anything;< 30;Female;Arrangement of the store
Convenient proximity to the store;60+;Female;Proximity
Good food and availability;< 30;Male;Pricing | Quality of goods
There are sometimes unnecessary queues;< 30;Female;Queues
Pastry not much, sometimes hard, others in order;60+;Male;Quality of bakery | Quality of goods
I like coming here, it's a nice little shop.;< 30;Female;Look and feel | Space
I'm happy here, nice and nice;60+;Male;Availability of goods | Look and feel | Staff
Quality, freshness, friendly staff;< 30;Male;Staff | Quality of goods
Close, action, nice staff, fresh.;60+;Female;Promotions | Proximity | Staff | Quality of goods
The business does not suit me organizationally, it is unclear here;60+;Male;Arrangement of the store | Clarity
Ideal for everyday snacks, small, clear ..;30 - 60;Male;Clarity | Space | Range of goods
I do not come here very much, it is small here, limited range, not night friendly staff;< 30;Female;Space | Range of goods | Staff
Little organic product and it was too expensive;60+;Male;Pricing | Range of goods
Well reconstructed shop, we like here;60+;Female;Look and feel
Drugstore;< 30;Male;Range of goods
Queues at the ticket offices, waiting long.;< 30;Female;Queues
I like the friendly staff here;30 - 60;Female;Staff
Happy with everything, good, fresh, I like shopping here.;30 - 60;Female;Look and feel | Range of goods | Quality of goods
They have a lot of good stuff in action, but a lot of people are here;< 30;Female;Queues
Always have pastries and buy everything here;60+;Female;Availability of goods | Quality of bakery | Quality of goods
It is a large selection and overall overview;60+;Male;Arrangement of the store | Clarity | Range of goods
Open more cash registers, queues;< 30;Female;Queues
Satisfied, I'm close to here;< 30;Male;Look and feel | Proximity
Shopping is good here, there are other shops.;< 30;Female;Look and feel
We are very close to home;< 30;Male;Proximity
I'm used to it, I like it here.;30 - 60;Male;Look and feel
Good prices, penny card, availability.;30 - 60;Female;Availability of goods | Pricing | Vouchers, loyalty
The bread is fresh here;< 30;Female;Quality of bakery | Quality of goods
It's near the house;60+;Male;Proximity
Everything is available;30 - 60;Female;Availability of goods
I'm satisfied I have no reason not to be what I wanted to have;30 - 60;Female;Availability of goods | Range of goods
Shopping is good here;30 - 60;Female;Queues
It is too much harder to orient me;30 - 60;Female;Arrangement of the store
Add more goods and more product promotions;60+;Female;Availability of goods | Promotions | Availability of promo goods
Assortment, self-service checkout;60+;Female;Self-checkout | Range of goods
Pleasant environment, professionalism;< 30;Female;Look and feel | Staff
Long opening hours, many special offers. Large parking;60+;Female;Opening hours | Parking | Promotions
So I can't think of anything at the moment;30 - 60;Male;Other
Nice big shop, plenty of goods.;30 - 60;Female;Look and feel | Space | Range of goods
I always buy what I need.;60+;Female;Range of goods
There are terribly small streets.;60+;Female;Space
They should keep an eye on the quality of chicken;60+;Female;Quality of meat | Quality of goods
Pleasant salespeople;30 - 60;Male;Staff
I have no reservations. Selection of sausages and vegetables. Offer drinks. Fast and convenient shopping.;< 30;Male;Range of FV | Queues | Range of goods
Availability, retail sales;30 - 60;Female;Other
It suits me here. I'll buy everything I need;< 30;Female;Availability of goods | Look and feel | Range of goods
I do not find them fresh fruits and vegetables;< 30;Male;Quality of FV | Quality of goods
Discounts;60+;Female;Promotions
Check the prices of the goods so that they are even on the cash.;30 - 60;Male;Price Tags
Near home, opening hours to 22:00 hrs.;30 - 60;Female;Opening hours | Proximity
But it is good to buy but for me it's a bit big I do not know here;30 - 60;Male;Arrangement of the store | Clarity
We connect shopping with entertainment or restaurant;60+;Female;Other
I am happy here only better meat;30 - 60;Female;Quality of meat | Quality of goods
Good opening times and food choice good;30 - 60;Female;Opening hours | Range of goods
Nice big shop, close to him, big choice;30 - 60;Male;Look and feel | Range of goods | Proximity
Meat good, good shopping;60+;Male;Quality of meat | Range of goods | Quality of goods
We have it close here, we like to make the whole business cleaner;60+;Female;Arrangement of the store | Proximity | Cleanliness
I like it here, there is peace and pleasant environment and shopping throughout the OC Harfa.;60+;Female;Look and feel
Good shopping here with a pram large space between the shelves;30 - 60;Male;Look and feel | Space
There's no better business here;30 - 60;Female;Look and feel
Newly opened cash registers;60+;Female;Self-checkout
Quality satisfied I am;60+;Female;Quality of goods
Well accessible store;60+;Male;Other
Good food supply, it's the way;60+;Male;Range of goods
It bothers small space in the shop;< 30;Male;Space
Long opening hours.;30 - 60;Female;Opening hours
I am satisfied here and therefore I shop here daily;60+;Male;Look and feel
I have it close to the shop assistant;30 - 60;Female;Proximity | Staff
Clear and clean and a million people.;30 - 60;Female;Arrangement of the store | Clarity | Staff | Cleanliness
Discount weekly promotions and fast checkout;30 - 60;Female;Queues | Promotions
Long queues, dirty shop;30 - 60;Female;Queues | Cleanliness
Freshness of cut sausages;60+;Female;Quality of goods
Nice reconstruction.;60+;Female;Look and feel
More Czech goods, more kind of organic food.;60+;Female;Range of goods
Very tasty and quality food;60+;Female;Quality of goods
There will be meat, there is a cash register in the evening and there are queues;< 30;Female;Quality of meat | Queues | Quality of goods
Nice shop, nice shop assistant;30 - 60;Male;Look and feel | Staff
I like it is a small shop.;60+;Male;Space
Uncomfortable operation;< 30;Male;Staff
Cleanly and well fruit.;< 30;Male;Quality of FV | Cleanliness | Quality of goods
Mainly spacious, wide streets, good choice, nice staff;30 - 60;Male;Arrangement of the store | Space | Range of goods | Staff
It is easily accessible;30 - 60;Female;Other
I like soft blankets here, I have a lot of them and very often I buy more, there are still new designs.;60+;Male;Range of goods
I like it, I'm happy;60+;Male;Look and feel
I like going here and choosing weekly offers;60+;Male;Availability of goods | Range of goods | Availability of promo goods
I just need it as it is now;< 30;Female;Other
The shop is nice and well-arranged after reconstruction;< 30;Female;Look and feel | Clarity
I've been here a long time and I like it here;< 30;Female;Look and feel
There is poor operation, there is no clarity;30 - 60;Female;Clarity | Staff
Pleasant shopping environment;< 30;Male;Look and feel
Better quality and freshness of everything;60+;Male;Quality of FV | Quality of goods
Some cashiers are slow and then I wait a long time at the cashier.;60+;Female;Queues | Staff
Okay fruits and vegetables, pastries;60+;Female;Quality of FV | Quality of bakery | Quality of goods
I would only put fresh vegetables and salami in the store;60+;Male;Quality of FV | Quality of goods
There is a wider choice at Velehradská;< 30;Male;Range of goods
Queues at checkout.;30 - 60;Female;Queues
I have it close, I have a good shopping here;60+;Female;Availability of goods | Proximity
Big clear, they have self-service checkout, bonus program;< 30;Female;Clarity | Vouchers, loyalty | Space | Self-checkout
I have a shop right next to the house;30 - 60;Male;Proximity
Clear shelves where I know what to find;< 30;Female;Arrangement of the store | Clarity
Sometimes they stand long at the cash registers.;< 30;Male;Queues
Good opening hours, friendly staff;< 30;Male;Opening hours | Staff
Not always fresh fruits and vegetables.;30 - 60;Female;Availability of goods | Availability of FV | Quality of FV | Quality of goods
Sometimes queues;30 - 60;Male;Queues
Terrible queues and five cash registers are not enough for such a shop.;30 - 60;Male;Queues
More expensive trade, confusion.;< 30;Female;Pricing | Clarity
Great prices;30 - 60;Female;Pricing
I live right across the street, it is good for smaller purchases, now it seems to me that there are more goods.;60+;Male;Range of goods | Proximity
Friendly, nice and helpful staff;< 30;Female;Staff
I bought discounted meat and sold it for the full price.;30 - 60;Male;Price Tags
I just like it here and I live next door;60+;Male;Look and feel | Proximity
Fresh food from remake store;60+;Male;Quality of goods
Small selection of goods.;60+;Female;Range of goods
Sometimes we find some moldy vegetables but it is nothing terrible it is almost everywhere;60+;Female;Quality of FV | Quality of goods
Introduce self-service cash registers;< 30;Male;Self-checkout
Enlarge the store and introduce events from the flyer.;60+;Male;Availability of goods | Space | Promotions | Availability of promo goods
Around 5 pm, half past six, not even the croissant.;30 - 60;Female;Availability of goods | Availability of bakery
Good selection of vegetables, drinks, pastries. Pretty good delicacies. Chilled pork does not taste good after cooking.;< 30;Male;Quality of meat | Quality of goods
Not in stock;30 - 60;Male;Availability of goods | Availability of promo goods
Everything is here;< 30;Female;Range of goods
Small selection of goods, large queues;60+;Male;Queues | Range of goods
There aren't big carts to roll back;30 - 60;Male;Other
Improve cleaning at the store and possibly self checkout;60+;Female;Self-checkout | Cleanliness
Not all goods are in action;30 - 60;Male;Availability of goods | Availability of promo goods
I prefer to come here small and have it fresh here;30 - 60;Male;Space | Quality of goods
Hard to evaluate practically elsewhere I do not just come here I got it here a bit;30 - 60;Female;Proximity
Prices do not fit;60+;Male;Price Tags
I know better stores with a different offer;30 - 60;Male;Other
Most of them have everything fresh and prices are good;< 30;Male;Pricing | Quality of goods
Great choice of goods, I like it here;< 30;Female;Look and feel | Range of goods
It's good to park here;30 - 60;Female;Parking
You cannot ride a basket as goods are under construction;60+;Female;Space
Convenient actions friendly service;60+;Male;Promotions | Staff
Expensive, frequent queues come here only when we pass by;30 - 60;Female;Queues | Pricing
It bothers me the failure of the store.;< 30;Female;Arrangement of the store
Good pastry little people, it's nice here;30 - 60;Female;Look and feel | Queues | Quality of bakery | Quality of goods
Offer excellent, availability at work;< 30;Female;Availability of goods | Range of goods
I like it here, it's all right.;60+;Female;Look and feel
It is quiet and easy to buy;60+;Male;Availability of goods | Queues
Good shopping, wide alleys, a very wide range. Good sausages and bread and.;30 - 60;Female;Arrangement of the store | Look and feel | Quality of bakery | Range of goods | Quality of goods
There's a good butcher, so I'll buy everything here;< 30;Male;Availability of goods | Range of goods
We shop here several times a week, mainly in events;< 30;Female;Availability of goods | Availability of promo goods
I buy well on the way home;< 30;Female;Availability of goods | Range of goods
Very friendly and warm staff;60+;Female;Staff
Satisfied, except for the event that is missing, I rarely get anything.;30 - 60;Female;Availability of goods | Availability of promo goods
Good choice spacious shop.;< 30;Female;Space | Range of goods
I didn't give 10 points to make room for improvement. But I'm happy.;60+;Female;Look and feel
Nice adequately stocked shop;30 - 60;Male;Availability of goods
We only walk here, near the residence.;< 30;Male;Proximity
Self checkout and cleanliness.;60+;Male;Self-checkout | Cleanliness
I am satisfied with the assortment, quality;60+;Male;Range of goods | Quality of goods
Front;< 30;Male;Queues
A small selection of bread and everything;< 30;Female;Range of bakery | Range of goods
Good prices, friendly staff;< 30;Female;Pricing | Staff
I was disappointed by the actions on the signs that there would be no more tea or coffee;< 30;Male;Vouchers, loyalty
Here everything is fine, I like it here.;60+;Male;Look and feel
Skilful staff. Bread selection. They have good actions.;60+;Female;Range of bakery | Promotions | Range of goods | Staff
Nice staff;30 - 60;Female;Staff
Nice lady saleswoman so I like to come here;60+;Female;Staff
Sometimes waiting at checkout;< 30;Female;Queues
Homeless in front of shop.;30 - 60;Female;Security
Friendly staff and large rooms;< 30;Female;Space | Staff
Nice vegetables, fruits and good pastries.;30 - 60;Male;Quality of FV | Quality of bakery | Quality of goods
It's cool here and have it all;30 - 60;Male;Look and feel | Range of goods
Sometimes reluctant staff;60+;Female;Staff
They have everything I need here and it's close;< 30;Female;Look and feel | Range of goods | Proximity
I live across the street, good prices;30 - 60;Female;Pricing | Proximity
The best in Kaplice;60+;Female;Other
In the morning there are not many people and there is a large parking lot;< 30;Male;Queues | Parking
Great staff but little space.;< 30;Male;Space | Staff
Benefit from special offers, more food choices and longer open working hours;60+;Female;Opening hours | Promotions | Range of goods
Well, there are queues, too many people, narrow corridors;< 30;Female;Arrangement of the store | Queues
There should be at least two self-service checkouts;< 30;Male;Self-checkout
The store has improved a lot;30 - 60;Male;Look and feel
Probably improve that food choice;< 30;Female;Range of goods
Sometimes there are queues and they do not have goods.;< 30;Male;Availability of goods | Queues
More discounts and store space;< 30;Female;Space | Promotions
Prices do not fit with meat.;60+;Male;Price Tags
Sometimes there are not many types of bread in the evening;30 - 60;Female;Availability of goods | Availability of bakery | Range of bakery | Range of goods
There's not much choice, it's nicer after the renovation;30 - 60;Female;Range of goods
Nice after reconstruction, well arranged.;60+;Male;Look and feel | Clarity
And in the afternoon to add more cash registers tend to queue;60+;Female;Queues
Sometimes there are long queues at the ticket offices;60+;Female;Queues
Today we are surprised how it goes, little people.;< 30;Female;Queues | Staff
Oops, so I can't think of anything ...;< 30;Male;Other
Compared to other stores, unwrapped goods, bad vegetables, employee access;60+;Male;Quality of FV | Staff | Quality of goods
I have nothing to complain about shopping well in this store;30 - 60;Female;Look and feel
There is no pleasant shopping atmosphere;60+;Male;Look and feel
More and more often complete shelves and correct price tags for goods;< 30;Female;Arrangement of the store | Price Tags
Fresh bakery products, food selection, clarity in the shop;60+;Female;Quality of bakery | Clarity | Range of goods | Quality of goods
Nice service, well-arranged goods, good fruit.;30 - 60;Male;Quality of FV | Clarity | Staff | Quality of goods
I am satisfied, but there is poor lighting;30 - 60;Female;Other
It's the only shop here, they should enlarge it;< 30;Male;Space | Range of goods
So I am close to it and I have everything here. It suits me here;< 30;Female;Availability of goods | Look and feel | Proximity
Confined spaces at the checkout and between shelves;30 - 60;Female;Arrangement of the store | Space
Not in stock;< 30;Female;Availability of goods | Availability of promo goods
Heaven is as big a choice as it is down here, but there is a chill;30 - 60;Male;Range of goods
Low prices and large and clear shop;60+;Female;Pricing | Clarity | Space
They could supply bread more often;30 - 60;Female;Availability of goods | Availability of bakery | Quality of bakery | Quality of goods
Enough goods;60+;Male;Availability of goods | Range of goods
I'm very satisfied, I like it here;60+;Male;Look and feel
There could be fresher goods;60+;Male;Quality of goods
Good selection of good pastries and sausages;< 30;Female;Quality of bakery | Range of goods | Quality of goods
Distance, I buy everything I need;30 - 60;Female;Availability of goods | Range of goods | Proximity
Nice shop, nice shop assistant;< 30;Male;Look and feel | Staff
Pretty clean quality food store;< 30;Male;Look and feel | Cleanliness | Quality of goods
Selection of meat, good bread, wide assortment;60+;Female;Range of meat | Quality of bakery | Range of bakery | Range of goods | Quality of goods
I got it close and it's cheap;< 30;Male;Pricing | Proximity
I come here for a small purchase I'm happy;30 - 60;Male;Range of goods
There is a large parking lot where there is always space, so I park well.;< 30;Male;Parking
Small, well-placed assortment and surprisingly wide assortment;30 - 60;Female;Arrangement of the store | Clarity | Space | Range of goods
I live next door, good choice;60+;Female;Range of goods | Proximity
Meat?;30 - 60;Female;Quality of meat | Quality of goods
Vegetables and meat are old here.;60+;Female;Quality of FV | Quality of meat | Quality of goods
Better pastry ...;< 30;Female;Quality of bakery | Quality of goods
I have it close to home, I am satisfied with the choice and prices of fruit;< 30;Female;Range of FV | Look and feel | Pricing | Range of goods | Proximity
I come here because I have it closest. It is different here, sometimes in order, sometimes it is not worth much.;30 - 60;Female;Proximity
It's cheap here. I come here a lot for fruits and vegetables.;< 30;Male;Quality of FV | Pricing | Quality of goods
The suit in the suit and price suits me;60+;Male;Pricing | Range of goods
Everything I get, there's a good environment.;30 - 60;Female;Look and feel | Range of goods
Shopping is good here and I like the building;< 30;Male;Look and feel | Space
Good location is on the transfer of meters it suits me extremely I do not have to run anywhere;30 - 60;Female;Proximity
Nice shop. Nice staff..;60+;Male;Look and feel | Staff
There could be a greater variety of salads.;30 - 60;Male;Range of goods
Queues at cash registers, whole grain bread;< 30;Male;Queues | Range of goods
Quality, good price;< 30;Female;Pricing | Quality of goods
Queue at the checkout is not always bread;< 30;Female;Availability of goods | Queues | Availability of bakery
Satisfied, I am near the house;30 - 60;Female;Proximity
There are a lot of queues at the ticket offices;30 - 60;Female;Queues
Always fresh assortment, friendly staff;60+;Female;Range of goods | Staff | Quality of goods
The size of the shop does not correspond to the size of the municipality.;60+;Female;Space
I'll buy everything cheap here well;60+;Female;Availability of goods | Pricing | Range of goods
