SENTIMENT;TEXT
Positive;It's a good big choice here
Negative;I don't like 1 saleswoman
Positive;Comfortable shopping, everything needed home, good prices
Positive;It's close to having everything here.
Positive;Large parking is convenient
Negative;Pastry is not much, it is a lot of toasted and soon hardens.
Positive;Kind shop assistants and nicely organized shop
Positive;I'm close
Negative;There are queues at the box office, I do not go to self-service
Positive;Large selection of goods, well-arranged, supplemented.
Positive;Proximity and good choice
Positive;The choice is excellent, there is room
Positive;Fresh bakery
Positive;They have good actions. Morning good selection of vegetables. Good sausages. Queues to the box office.
Positive;Freshness, quality, overall level of trade rose
Positive;I always buy what I need
Positive;Large selection of food
Positive;Convenient proximity to the store
Negative;I'm still shifting the shelves and I don't know then
Positive;Absolutely satisfied. Large, clear, nice staff.
Negative;Cluttered shop, I'm used to Lidl.
Negative;Satisfaction, no more fresh bread in the evening.
Positive;I like it here, it's clearly arranged, quality food
Negative;It's a normal deal only they could open up more treasure
Positive;All in all, the shop is quite convenient
Positive;The shop is not bad, but I come here when they have something good in the special offer
Positive;Staff, assortment, parking
Negative;I have to leave the carriage outside, you can't drive here
Positive;Cheapest prices in the city
Positive;Large, clean and clear. Good shopping here.
Positive;Decent business, reconstruction benefited him.
Positive;Clean shop, clear, orderly purchase
Negative;Open some better bistro or pastry shop just for coffee
Positive;Always quality goods availability
Positive;I have no problem here with anything I like most fruits and vegetables
Negative;I do not know what to say, it happens that the goods from the leaflet are missing.
Positive;Large selection of well organized store
Negative;Self-service checkouts are complex and do not take money
Positive;Excellent pastry
Negative;There is little staff, mostly 1 cash desk is open
Positive;Spacious, clear, self-service checkout, a large selection
Negative;Pleasant service, expensive goods
Negative;Waiting at the box office
Positive;Clean, big store, big assortment.
Negative;They should be discounted even outside leaflet events.
Negative;Big packs of meat, smaller packages
Negative;Do not fit prices due to a draped price tag
Negative;It's expensive.
Negative;Queue at the cash register to correct, long waiting.
Positive;Good offer, few people, cheap
Negative;Little pastry
Negative;Well, it is very cramped, confusing and small choice
Positive;I only went for beer, I got it, so I'm happy
Neutral;Nothing concretely comes to mind.
Positive;Friendly staff
Negative;Replace the entire range of meat and vegetables.
Neutral;Parking by the store in the underground garage, self-service cash desk. The goods are the same everywhere.
Positive;Suits store size and layout and assortment
Positive;It's pretty good here, I buy what I need
Positive;Large selection, long opening hours
Positive;Satisfaction just the assortment could vary
Negative;They do not have quarters of bread and the pastry is mixed old with new.
Positive;The shop is close as it is new here and it is better
Negative;Few goods in action
Positive;They have great discounts cheaply
Positive;It's good, cash registers go fast
Negative;Sometimes things are sold out
Negative;Expensive goods
Negative;Small assortment, unpleasant staff.
Positive;Friendly staff and low prices
Positive;I like Tchibo assortment here.
Negative;The pastry could sometimes improve
Negative;Having only a Chinese restaurant here would be nice some other.
Positive;Suits proximity and the ability to pay meal vouchers
Positive;Fresh fruits and vegetables, nice staff, all ok
Negative;It happened to me that the salami was dried up.
Negative;Add cash payment at self checkout.
Positive;It's a shop like any other but they have good parking
Positive;Nice shop and easy shopping
Negative;Queues at checkout.
Positive;We only come here when more stuff is in the action price
Negative;Good action on beer otherwise assortment not much
Negative;Long queues and little staff at the store
Negative;Long queues at the checkout and could self-checkout
Neutral;So I do not know I miss anything here
Negative;They could be open longer.
Neutral;The merchandise is of good quality but it has been waiting at the checkout for a long time
Positive;Store size, choice of goods
Negative;Self-service checkouts have here.
Positive;Good small shop, basic things here, good pastries, nice sausages
Negative;I do not know much here is a lot of goods in a small space
Positive;It's close to having everything here.
Positive;Location, I live a bit, choosing, action good
Positive;Buy everything, good events, clarity
Positive;I like it here very much.
Negative;Improve the assortment of fruits and vegetables, more tropical.
Positive;I park well here and the shop is not big so I have bought fast.
Positive;I got a piece of it
Positive;It's the cheapest, and not many people.
Positive;We didn't have a problem
Positive;I recommend, everyone decides alone
Positive;Large selection of goods, special offer is good, self-service checkout
Positive;I like it here, selection of dairy products, quality meat
Positive;It's good here, we got everything.
Positive;He's trying hard, it's nice.
Negative;Good action, high prices
Positive;There is a good atmosphere and also an assortment
Neutral;I come here sporadically, I prefer to visit other stores more often
Negative;I don't like the cellar shop
Negative;It happens that action goods are redeemed
Positive;Everything I like here is nice
Negative;After the reconstruction I do not know and I can not find my favorite things
Positive;I'm close
Negative;Better attitude of staff when dealing with complaints, more willingness when I need advice
Neutral;Vegetables, events, assortment, goods
Positive;Clear, clean, nice selection
Positive;We live alone and come here for a big shopping
Positive;Fresh vegetables and a large selection of yogurt
Positive;The cheapest prices and the largest selection of fruits and vegetables.
Negative;Better label your products and reduce product prices
Negative;I do not come here so often to appreciate their offer, I have it far, had a small assortment.
Positive;Large selection of vegetables and fruits
Positive;Very nice remodeling shop
Positive;Discounts
Positive;Good smaller business, no queues.
Positive;Absolutely this shop suits us, there is a pleasant atmosphere
Positive;I only come here or to Lidl
Positive;With the purchase I arrange other things like buying shoes, etc.
Positive;It's like a construction site, otherwise the food, the choice is great.
Positive;Nice, clear shop, I like to go shopping.
Negative;It makes goods and hoarse radio more expensive
Positive;They have what we want and they like us to do it here
Negative;It's here with a strange subway people
Positive;I know where I can find quickly
Negative;Sometimes they stand long at the cash registers.
Positive;Great choice, space, distance
Positive;Shopping here suits us
Positive;It is easily accessible, near the hairdresser, nail studio.
Negative;Big queues, prices are different than in the leaflet
Negative;There is no room to move with the stroller.
Negative;Probably more staff ....
Positive;It is long open even on weekends.
Negative;Smaller choice, long waiting at the checkout
Positive;I'm very satisfied here, all ok
Positive;Ma gets special offers longer opening hours
Positive;Great place for large shopping.
Negative;Sometimes there is a madhouse and little space for shops
Positive;It's kind of family-friendly here
Positive;They had a good store, they have what I need
Negative;Drugstore track
Positive;Not many people here
Positive;Enough action
Negative;It has worsened a lot since the reconstruction
Negative;It's good here but the cash registers never match
Negative;I don't like pre-cut sausages here
Positive;I do not know we are happy to please us here
Positive;I often stop by the road
Negative;I do not like much sausage here and lack action goods
Negative;Put a self-service checkout here
Negative;He's stealing here
Negative;Small spaces and waiting for the box office.
Positive;Near the residence
Negative;The fruit is sometimes rotten
Positive;I do not like change, I have to get used to the new arrangement, but the goods here improved
Negative;Arrangements and packaging of cheese are changing
Negative;Those queues are terrible, otherwise cool.
Negative;Few goods in discounts at the store
Positive;I didn't give 10 points to make room for improvement. But I'm happy.
Negative;Although they fixed it nicely, but there is little space and when there are more people I can not easily buy anywhere
Neutral;The supply of food sufficient, could be opening time to ten as in Tesco.
Negative;More choice in dairy products
Negative;Nicer and more kind of vegetables.
Positive;Clear, matched and completed, good selection
Negative;It's expensive here compared to Kaufland and Penny.
Negative;I do not like the quality of food small selection
Positive;I have good shopping here, I do not wait long at the cash registers, I like the self-service system.
Neutral;Assortment arrangement, lucidity of goods
Negative;They do not have enough choice for vegetables.
Negative;Pastry is baked, crumbling
Positive;I like it here, so I come here.
Positive;Good shopping here, new and nice spacious.
Negative;Well increase the choice of space and improve the quality
Positive;I like the great product selection
Negative;Poor orientation in the shop and little space behind cash registers.
Positive;Neat, clean, good assortment.
Positive;I have it near the tram, I buy quickly and clearly.
Positive;Do not transfer goods, I know what is.
Positive;Suits fresh bread, fruit vegetables
Positive;I have it close here and the meat is in action every week
Negative;Good to mark goods with the appropriate price, otherwise nothing.
Negative;There are few goods in action, prices are higher
Negative;Large queues at the checkout
Positive;I only come here if they have something good in action otherwise
Negative;Check the prices of the goods so that they are even on the cash.
Positive;I am satisfied here and evaluate the friendly staff.
Negative;More special offers on merchandise
Positive;The average trade I have no comments
Positive;I like it here, I'm happy here
Positive;Otherwise, the satisfaction of everything fresh mainly from here are the only business
Positive;Large selection, wide assortment, but poorly passable narrow streets
Positive;Neat, clean, good assortment.
Negative;Have more stuff and have put the goods I love, mustard bread, kefir with lid, mayor cheese
Negative;Well, happy with everyone, just the big queue at the ticket offices.
Neutral;I don't know, otherwise everything else is fine
Positive;Beautiful and pleasant environment and clean
Positive;Quiet shopping, without queues, not many people here.
Positive;Transparency of the shop, assortment
Negative;Nice clear shop only higher prices
Negative;Old ugly pastry and sometimes they don't even have it.
Negative;I come here a little, it's far away
Negative;The streets are cluttered and there is a mess
Negative;Increase food choice, better drugstore offer
Negative;There could be a shop, a hypermarket
Negative;Few whole grain breads.
Negative;Few cashes to open, long queues
Negative;Weaker separation of vegetables
Positive;Good access from home, self-service checkout, gallery with additional goods
Positive;It has a coffee machine, toilets super clean
Neutral;How ever I buy well and sometimes I don't.
Neutral;Available store
Positive;Pleasant and helpful shop staff
Positive;Clearly, there is everything, nice staff
Positive;Now I like it here, clean, clear shop, much better goods
Positive;Near the train station which fits.
Positive;Large, spacious, well passable, completed.
Negative;Pastries smaller selection, sausages small selection
Positive;Good. Fast, clear .. nice staff ..
Negative;There could be more cash registers and self-service names
Positive;You can buy here for good money for the garden or home. I don't buy much food here
Negative;Sometimes they have bad meat
Positive;Satisfied, rebuilt. Nice, lots of events.
Positive;It's nice and quiet here, good action
Negative;The quality of vegetables fruits occasionally pastry unfilled
Negative;High prices, queues, distance
Positive;All right, I'm busy by bus
Negative;The quality of meat is worse and expand the range
Negative;Sausages are not good
Positive;I have it on my way and I always choose.
Negative;Few goods, sometimes there are half-empty shelves
Positive;For a snack and a drink, a self-service cash register, I got it quickly bought.
Positive;Large spacious shop and super prices
Positive;I got it near here and they got it pretty cheap here.
Negative;Small space in which the store is located
Negative;Higher prices for goods but I like this shop
Negative;Here is good shopping, just don't come in the afternoon when there are more people, there are narrow streets and few cashiers.
Neutral;So I don't know anything I can think of
Negative;They do not add goods forever. Empty space
Neutral;There is nothing for children and there is no restaurant.
Negative;More shop assistants and cash registers.
Negative;More liked me before, it was better arranged
Negative;I would occasionally welcome a change in product range, add some news
Negative;I come here only in distress it's expensive here
Positive;It's cool, but there's always room for improvement
Negative;I would welcome a self-service checkout
Negative;Self-service checkouts could be made for cash.
Negative;Small and narrow streets between shelves.
Positive;I found everything I needed
Negative;Improve freshness of bread and vegetables.
Positive;Here we always buy, very good business. Great satisfaction.
Positive;There's everything I need
Negative;There is little space and space
Positive;Wide range and helpful staff
Positive;I'm happy here I wouldn't come here
Positive;Well, I come here most often, they have everything here.
Positive;Good location
Positive;Good offer of bread, great choice.
Positive;I like a large selection of salty and sweet pastries
Neutral;Because there's nothing I would be unhappy about
Positive;What I want, I buy here
Negative;There are long queues
Positive;I'm happy here. Everything suits me
Positive;I like this shop because of helpful and nice staff and good food quality.
Positive;Nice large shop with a selection
Negative;It bothers me little space so little choice
Positive;I like that store is so loose, airy
Negative;Small assortment of Czech goods, good parking
Positive;Good small shop, basic things here, good pastries, nice sausages
Positive;I always buy everything I need here
Positive;Access staff, nice environment, a wide range.
Negative;Confused prices for beer
Positive;It's close to home so I like coming here.
Positive;I like to come here. I can ride with a pram and there are no queues
Negative;I come here because they have a large selection of delicatessen, sausages, meats and sausages. But there are often queues everywhere.
Negative;Vegetables are not fresh sometimes, I take and pick.
Negative;Obnoxious staff
Negative;More open cash registers, better control of fruits and vegetables
Negative;Add more items and ensure that the items on the flyer are available
Positive;Lots of goods in a small space Little space For everything
Negative;Large queues, poor vegetables, little choice.
Positive;I come here because I have it closest. It is different here, sometimes in order, sometimes it is not worth much.
Negative;Sometimes when the event is sold out in the morning
Negative;There's a smaller selection of goods
Negative;It used to be much clearer here before.
Negative;It's a terribly small shop
Positive;Good fresh products, long queues in the store
Negative;Employee approach to customer negative, unwilling employee at delicatessen
Positive;Well done and I always get what I need
Negative;Unclear, incomplete assortment
Positive;Staff, assortment, clarity.
Positive;Self-service checkout, friendly staff
Positive;Good shop within easy reach, newly made lush spacious
Positive;I'm close
Neutral;Quick purchase after work
Positive;Nice service, clear goods
Positive;Honestly - the goods are fine, but there is the reluctance of the staff...
Negative;I have to leave the carriage outside, you can't drive here
Positive;Well done spacious shop
Positive;Large store and no queues
Positive;I have it near the way of work and have a longer opening time.
Positive;Basically, I'm happy here, for such a regular purchase well.
Positive;Great choice
Negative;I don't know if a store can do anything about the quality of vegetables
Positive;Self-service checkout suits me. Awesome thing. It will speed up a lot.
Negative;Sometimes there is no action item
Negative;I would only put fresh vegetables and salami in the store
Positive;Great choice and low prices
Positive;Good environment, good location
Positive;Satisfied, I'm close
Positive;All ok, distance, staff
Positive;It is not perfect here, but I am mostly satisfied here.
Positive;I come here mainly for events not here, too many people
Positive;Choice, overview, it's spacious and clean
Neutral;There could be a snack in a café
Negative;Small space behind cash registers, otherwise I am satisfied
Negative;They have quite a limited selection of goods
Positive;I buy everything here and non-food goods
Negative;It's more expensive than Kaufland.
Positive;There is a large assortment. Pretty nice vegetables
Negative;Better pastry ...
Neutral;Shopping with the device and self-service cash registers
Negative;Probably improve that food choice
Negative;Larger assortment, transparency in the shop
Negative;Easier control of self-service cascades
Negative;There is very little space and there are queues.
Positive;Nice environment and good prices.
Positive;I'm close
Positive;Very hilarious reconstruction. More space.
Negative;I am not satisfied with the quality of the meat
Negative;Missing fresh coriander, some meats, large queues between 5 and 7 pm, little friendly environment.
Positive;I will buy at noon break
Positive;Satisfaction, small shop where the range is sufficient.
Negative;It's more expensive here, but Clever is good.
Negative;There are no toilets. Not even where to sit.
Negative;You will never do this simplicity
Negative;Well, those self-service checkouts don't suit me. I'd say it almost offends me because I work as a shop assistant
Positive;Friendly staff, quality and fresh ingredients
Positive;More open cash registers at this time
Positive;They have everything I need mainly discounted products
Negative;It is expensive and there are long queues for everything, although they introduced self-service cash registers, but it is not enough
Negative;Small spaces.
Positive;Buy everything, quiet purchase, clear
Positive;New nicely renovated shop
Positive;I got it under the house, I'm glad it's here.
Negative;Check the prices of the goods so that they are even on the cash.
Negative;For small purchases are enough, for large purchases small assortment and high prices.
Positive;Good vegetables fruits, bread
Positive;Good offer, long opening times.
Negative;There's such darkness, more discounted goods
Positive;We have good shopping here and we have it at the barrack
Positive;Location, quality of goods, large selection, pastries great
Positive;There's a lot of fresh product and self-service checkout.
Negative;Extension of aisles, increasing trade.
Positive;A small shop suited, few people.
Positive;I like the big shop here
Negative;Withered pastry, old meat, salami and ham.
Positive;I drive well here and there is a large parking lot
Positive;Good sweets and pastries, cakes
Positive;After reconstruction, the store looks cleaner and clearer.
Negative;It bothers me with the uneasiness and you're not going through the streets.
Positive;Nice staff, parking, assortment
Negative;Nicer and more kind of vegetables.
Positive;Large parking, discounts, offer
Positive;Large selection of food, fruits, vegetables
Negative;Quite reliable trade only a lot of expensive
Positive;Satisfied, large selection of goods. Large, spacious parking.
Neutral;Many goods but sometimes I do not know
Positive;I like it here. They have a wide range. They have a healthy diet. Wide alley in the shop.
Negative;Sometimes the store is filled and they do not prosecute
Positive;I like to buy here, nice, clear goods.
Negative;Have more cash registers open
Positive;Very nicely redesigned shop, a large selection of quality food
Positive;There's not too many people here
Negative;Some meat is not always fresh
Negative;More discounts and better compare magazines.
Positive;Distance, clean, clear
Positive;In total you can buy here, it is not a bad shop
Positive;Buy everything, clear store
Positive;Nice new shop, more spacious with more offer
Positive;I'm happy here, I like the most of all the business.
Positive;We like to come here, it's close and quick to buy
Positive;Smaller but good business. For a regular purchase it just enough
Positive;Good choice is close
Negative;Big queues. Cleaner.
Negative;Sometimes there are queues at the checkout.
Negative;Poor quality vegetables fruits and pastries after 18h missing
Negative;Discounts on various types of clothes, mainly dresses
Positive;Availability, large selection, clarity
Positive;It's great here I have no comments
Negative;It would take a little bit to modernize it's older
Positive;They have everything they need, take food vouchers, have interesting seasonal goods or now Easter decorations and sweets. Good sweet pastry.
Neutral;It's like all the other stores here
Positive;Pleasant environment, special offers
Positive;goods are clearly arranged, available
Positive;Good prices, food is good quality
Negative;May it expensive and do not replenish the goods
Positive;I buy in the surrounding shops and do the grocery shopping
Positive;Good action. Otherwise, trade old and unattractive.
Negative;Have more cash registers when there are more people
Negative;Small space behind cash registers, otherwise I am satisfied
Negative;Improve toilets, soap dish does not work at all.
Neutral;Vegetables, staff, distance.
Negative;It bothers me now that the new package of cheese, it absolutely does not suit me, before I chose the weight I needed, the same for Balkan cheese.
Negative;There is little staff, mostly 1 cash desk is open
Negative;Lack of bakery, long waiting at the box office, a large selection
Positive;Distance, space, staff
Positive;Transparent, matching range
Positive;Selection, distance, all ok
Negative;There are queues mainly at the weekend.
Negative;More light, clean up the palette of alleyways
Positive;Good store availability.
Negative;Maybe pastry in the evening
Positive;Quality good
Positive;Good and cheap energy drinks, fine self-service checkout.
Positive;Environment, small people, assortment
Positive;Great selection of action and good bakery
Positive;Good shopping, quality and fresh food
Positive;Large and spacious shop and always have fresh delicacies.
Positive;Transparency of the shop, assortment
Positive;Friendly and helpful staff
Positive;All right
Negative;Little bio.
Positive;Super lined up, I'm not looking.
Positive;Low prices, wide selection, quality food, fresh meat and sausages, varied offer, goods are supplemented, only queues are paid.
Negative;The quality is worth nothing and the choice of meat is not the best and I will not even talk about overpriced vegetables
Neutral;I think the space can not be solved otherwise
Positive;Good selection of meat, smaller pieces for pensioners.
Neutral;Meat?
Positive;Convenient store, especially for large purchases.
Negative;The store is clean except for those queues quite good pastries for today's options
Neutral;Not much, but I got used to it.
Positive;Custom, tradition, friendly staff
Neutral;Nothing can be improved, there are factors affecting the center around the store
Positive;Satisfied, very good cheeses, large selection of meat.
Negative;Have more parking at the store.
Neutral;I just don't think so
Negative;Satisfied only a long wait for a small purchase
Positive;Big discounts and sales and have good salads to weight
Negative;Pastry first and then fruit vegetables, you can not buy weighed onions
Positive;I like the arrangement and choice of goods
Negative;It doesn't suit me here at all, the confusion, the queue
Negative;Because it bothers me how they rebuilt the store
Negative;Discount fruits and vegetables at normal prices.
Negative;They removed the trash and people throw garbage to the ground.
Negative;Bad fruit and vegetables
Negative;There is no landed sausage, and more shop space.
Negative;I'm not sure of the freshness of the sliced sausages.
Positive;It's better to park here
Negative;Totally weird business. Product quality not much.
Negative;Small parking
Positive;We like it here, spacious shop good offer.
Negative;I prefer buying a small selection of goods in a globe
Positive;It's been a good deal since they remade it
Positive;There is quieter shopping.
Positive;Helpful staff and well-arranged shop
Negative;Queues delay a person, especially when he leaves work and has no time.
Positive;I got it closest it's opposite the house
Positive;I am fully satisfied, everything is OK
Negative;Occasionally the price on the cash register differs from the price on the price list. They don't always have action items.
Negative;People unpleasant employees,
Negative;Everything remodel. The store is outdated and quality poor. Improve the atmosphere.
Positive;I come here because it's the cheapest
Negative;No prices, big queues, no goods in action
Neutral;Delicatessen, staff
Negative;Queues at checkout. Small space
Negative;Queues for sausages
Negative;I do not like the quality of food small selection
Negative;I can't find everything
Positive;Organized. We are used here, good assortment
Negative;Newly made, it just benefited
Negative;Expand range of all products
Positive;Helpful staff, modified shop.
Negative;Self checkout cash register
Positive;I like the great selection of goods
Positive;They have great events and a great selection here
Negative;There are queues at the ticket offices.
Positive;Sufficient choice, goods often in action
Negative;Wrong store layout
Positive;It suits me here. I'll buy everything I need
Positive;Good sausages, donuts and cheeses.
Positive;I like how it's done here. The nutrition sector suits me
Positive;Satisfaction with everyone. I do not have a problem.
Positive;Good prices, good deals, discounts
Neutral;I come here a long time and when it turns out when something is missing
Positive;Vegetables, willingness at the counter
Negative;Well, it seems clear to me here. Slag selection here is weaker ...
Negative;Unclear layout, few people
Positive;Store size, friendly environment and prices
Positive;Fast purchase, self-service cash desks, selection of sausages, fresh goods and semi-finished products, spices, drinks
Positive;Enough food
Positive;Well-arranged assortment, large selection
Negative;Totally weird business. Product quality not much.
Positive;I have it near the tram, I buy quickly and clearly.
Positive;I like to shop here is a nice shop
Negative;Small belts at cash registers, queues.
Positive;I come here often and know where it is and make a quick purchase
Negative;Small food selection
Positive;Pleasant environment, excellent location
Negative;There's no such choice of goods
Negative;Queues at the cash registers and could be put in self-service cash registers and smaller carts because then they do not crawl between the shelves
Positive;So I like it here. When I need something, they have it
Negative;Improve service quality on the shelves
Positive;Beautiful and clean shop all super
Negative;Large queues at the checkout
Negative;Queue cash register, afternoon and little product bio otherwise satisfaction.
Positive;Large selection of goods, clarity of goods
Positive;It's all clearly out of the orchards close
Positive;Good selection of beers and dark light but little in action
Negative;Use more staff at the checkout
Negative;Small assortment of small space
Negative;The self-service cash registers to make them cash
Negative;There could be cleaner and fragrant toilets.
Negative;Some cashiers are slow and then I wait a long time at the cashier.
Negative;It's spatially small here
Negative;Disturbing men's small premises in the shop
Negative;Better willingness of staff, with the size of stores probably do not do much
Positive;I make a great shopping here comfortably
Negative;Watch prices in events to fit the cash register
Negative;Improve the quality of countertop goods. The price of fruit vegetables is lidka
Negative;I am not satisfied with the quality of the delicatessen from the service desk
Positive;I like to come here for pastries
Positive;We like to come here is fresh goods
Positive;Very nice shop with friendly staff.
Positive;Everything in order, the shop is clean
Positive;Spacious and clear, fresh vegetables
Positive;They have good events here, I buy mainly from the leaflet
Positive;A small shop here are not such queues
Positive;Large spacious shop with willing saleswomen.
Negative;There can be better fruit quality, more goods in action
Positive;It is a smaller shop and therefore well oriented and staff is very helpful.
Negative;Occasionally, staff and products are missing at a discount
Positive;I'm happy here, there are no flushes as elsewhere
Positive;I have no reason not to give ten
Positive;Pleasant purchase, good atmosphere shop after renovation.
Positive;Nothing, after reconstruction is all about well
Positive;Peace and quiet to buy, no queues, few people overall
Negative;More discounts on meat and more flyers
Positive;It is close to the bus and they have everything in one place and still get the post, etc.
Negative;I can't get used to the space here
Positive;Diverse assortment, space and well-arranged
Negative;Slow cash register
Neutral;As long as we have to be sure we will have to shop
Negative;Now it's new and confusing for me
Positive;Fresh fruits and vegetables, big selection
Positive;It's OK, also clearer than before.
Positive;I like how they did it here
Positive;Everything is in order, nothing matters.
Positive;My wife says we have to be cheap here but I don't know why we spend so much here
Positive;Shop location, good choice.
Positive;Nice service, clear goods
Positive;So it is spacious and clear for me
Positive;It's very close to me on the road
Negative;Queues, empty shelves, baked goods
Negative;High prices, small assortment
Negative;Price differences on shelves versus cassams
Negative;Little business and services on the Internet
Negative;I had a problem with a cashier, but I haven't seen her for a long time
Negative;There are no queues at the checkout
Positive;Well accessible, spacious, self-service checkout
Negative;Sometimes some goods are missing
Positive;It's clear, nice saleswoman, enough goods
Negative;Waiting at the box office
Negative;More to worry about the store. commodity is little is expensive is not worth much. Do not fit price tags on stores with the price at the box office
Negative;Very narrow streets and little space.
Positive;I appreciate the self-service cash registers and the possibility of buying for Sodexo meal vouchers.
Positive;I am satisfied, the store clean, a large selection of goods.
Positive;Nice shop, clean, pleasant.
Positive;There is good parking and there is a wide range of refreshments.
Positive;Airy big shop better, cleaner.
Positive;Large parking lot, I like the assortment here, I buy food to work for a snack.
Negative;Very narrow streets, you can't pass.
Positive;It's like a construction site, otherwise the food, the choice is great.
Positive;For a small shop sufficient store.
Positive;Ideal for snacks and drinks right by the road
Positive;It is easy to buy here
Neutral;I'll buy what I need
Positive;It's nice, spacious, linden arranged
Positive;It's a nice shop, they have it here modified, supplemented
Negative;Improve actions, more affordable goods.
Positive;There's nothing to change
Neutral;Meat quality
Positive;Trade is more spacious, airier
Neutral;I got it on my way to work
Positive;I have good shopping here, space between shelves and good choice.
Positive;Everything I find here I am satisfied
Positive;The store is in the center of Prague and is very well supplied. Especially here they have a large selection of fresh fish.
Neutral;More cashiers not to queue even when workers do not go after work
Positive;Proximity of residence
Positive;I got it close here, what I need to buy here. It became very expensive
Positive;There are no queues
Positive;Best prices, quality food
Positive;Nice shop for shopping
Negative;Enlarge store and assortment
Negative;Proximity, disorder, clutter on the store.
Negative;It is far from home, poor accessibility.
Positive;Cleanly, staff, fresh bread
Positive;Large and well-arranged shop
Negative;Bad vegetables, bad fruit
Negative;Long queues, dirty shop
Positive;Well I have it as close to the house and as much as I like to come here
Positive;I'm used to it, people don't crumple here so much, well arranged
Positive;Spacious and clean store with a wide range
Positive;I got it right by my nose, a nice redesigned shop.
Positive;I will buy everything
Positive;Clean, clear shop, well-sliced salami
Positive;Quality and fresh ingredients, modern shop
Positive;There is a good assortment well arranged I think everything is in order
Positive;They always have what I need
Positive;I'll buy everything
Positive;Very nice shop, helpful staff
Positive;All quality and cheap
Negative;Everything is fine except for long queues at the box office
Positive;There are no queues in the self-service cash registers.
Positive;Pleasant environment, assortment
Positive;I come here for meetings. I'm just totally satisfied
Positive;Good selection of assortment
Positive;A fresher assortment of meat and also deliver pastries for dinner
Positive;I have good shopping here and have a look at the surrounding stores
Negative;Sometimes I like the goods from the flyer, but then there is no need
Positive;Nice shopping environment
Positive;They have fresh delicacies and a large selection
Positive;I am satisfied, there is also air conditioning.
Positive;They have a Tchibo corner here and I like shopping in it
Negative;Long afternoon queues, solid pastry in the evening.
Negative;Big queues, small cos ..
Positive;Every day, satisfied, always make your choice.
Neutral;Different assortment than in other stores
Positive;Quick purchase, pleasant environment
Negative;Small parking lot, increase space.
Positive;It is so small and quite clear
Positive;Varied assortment.
Positive;Well-arranged store of wide assortment
Positive;We buy what we want, a wide range of foreign kitchens
Negative;It is expensive but it is the closest. I shop well here but I prefer to go to Lidl, it is cheaper.
Negative;Improving food quality.
Positive;There's more shop around where I shop. They have a very nice selection of delicacies.
Positive;Sufficient assortment, lower prices, tend to have special household goods. The queues do not match the cash registers.
Negative;Missing self-service checkout here.
Negative;I have to keep my receipts at the checkout
Positive;Big food offer in a small shop.
Negative;I mind the smaller spaces that are here.
Neutral;I'm happy, I don't care
Positive;But there is little basis, good oz and pastry so there is nothing to deal with
Positive;Nothing nearby and it's a pity it's so small here, otherwise it's a good deal.
Positive;I buy here often, goods well arranged.
Negative;It bothers me that they have reworked the cash registers, I can't use them
Positive;Good product range
Positive;I am always satisfied, lots and action, well arranged goods.
Negative;Improve meat quality. Do not take Polish meat
Negative;Prices are high
Positive;Complies with fast cash registers
Positive;We live against and we like how it changed here
Positive;Spacious and clear shop
Negative;There is little space, you push a lot with people and then wait in line
Negative;Missing foods that are in action.
Positive;Satisfied, meticulous, clear ..
Positive;Overall satisfaction all suits
Positive;Good prices quality and food selection
Neutral;A normal big deal that is full.
Positive;Pleasant environment, good assortment
Positive;Spacious and clear, fresh vegetables
Positive;I appreciate the self-service checkout, the offer of alternative foods
Negative;Small spatial, small selection, few cash desks
Neutral;They have a different kind of cheese assortment and packed parks.
Positive;Large selection of assortment, quality fresh vegetables
Positive;I have no reason not to recommend I am a satisfied customer
Negative;It's great here I still can't find something and it's hard to come back through the shop
Negative;All right, except that Kaufland has already made it more expensive, that's not what it was.
Negative;It's a lot of goods in a small space
Negative;They could better control the vegetables and fruits to prevent it from being moldy, and I already bought the goods after the warranty.
Negative;Small space, small assortment
Positive;Usually we go to events from the flyer. I like the fact that in exchange of goods returns money and not exchange for something else.
Positive;They have a wide range of goods, reasonable prices, a selection of cheeses and pastries.
Negative;Occasionally, staff and products are missing at a discount
Positive;Very nice shop with cheap goods
Positive;Smaller shop purchases don't last so long
Positive;Transparency, assortment, selection
Positive;it's close and they have everything I need
Negative;Narrow streets and extra large trucks
Negative;I always have to wait a long time at the counter and the box office.
Positive;The self-service cash registers, unlike the kaufland, have their staff and help
Positive;It's a nice, modern shop
Positive;They have very fresh food here
Negative;I'd make a self-service checkout.
Positive;Spaciously clear, I like here.
Negative;There are no prices, not all goods
Negative;Open more cash registers, have more cash registers
Negative;Big queues at the ticket offices mainly in the afternoon
Positive;I know where it is
Positive;Best store, nice. Well-arranged, supplemented goods.
Positive;Wide range of goods
Negative;Expensive prices and very limited assortment for diabetics
Positive;Everything is here
Positive;Clearly, well sausages, meat
Negative;The shop is quite small for small baskets at the checkout. The bonus points on the goods are too expensive and the additional charges are large. Better would be a discount action
Positive;Wide range, pleasant shopping
Positive;I have it close to home, I am satisfied with the choice and prices of fruit
Positive;I'm happy it's clear here.
Negative;Smaller range, quality
Positive;Quite clear, we know food, sweet pastries delicious
Negative;Small space, a lot of boxes in the streets unpacked.
Negative;Vegetables a lot of poor quality, waiting at the checkout
Positive;I'm close here and I feel more comfortable with smaller shops
